Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature,Feature Secondary Name
BCL2,BCL2,Antibody Capture,0.9088464820450581,0.0,0.0,78707797,14636.515243609421,5756,BCL2
PCNA,PCNA,Antibody Capture,0.8886609324609707,0.0,0.0,154194782,27263.14120741097,5756,PCNA
ENSG00000101439,CST3,Gene Expression,0.8687650830842555,0.0,0.0,912011,155.2750310715409,5741,
ENSG00000204388,HSPA1B,Gene Expression,0.8610727237485235,0.0,0.0,75150,12.742937298775454,4842,
CD68,CD68,Antibody Capture,0.8558717847128235,0.0,0.0,216162375,35220.375250950616,5756,CD68
ENSG00000133048,CHI3L1,Gene Expression,0.8542283693777728,0.0,0.0,1299382,217.3106220105448,5729,
ENSG00000175445,LPL,Gene Expression,0.853681790560258,0.0,0.0,101923,16.882183653382103,4979,
ENSG00000106278,PTPRZ1,Gene Expression,0.8510933028148155,0.0,0.0,742645,126.71581122471778,5675,
ENSG00000125462,C1orf61,Gene Expression,0.8450520696378863,0.0,0.0,305802,53.79122785343105,5643,
ENSG00000109472,CPE,Gene Expression,0.8428237029658627,0.0,0.0,409401,71.04553081737053,5638,
ENSG00000169504,CLIC4,Gene Expression,0.8419818861828787,0.0,0.0,178331,30.478960646162047,5391,
ENSG00000189043,NDUFA4,Gene Expression,0.8404436303748297,0.0,0.0,320281,56.54499052435378,5615,
ENSG00000101955,SRPX,Gene Expression,0.8393636747452667,0.0,0.0,142199,23.793898101965087,5222,
ENSG00000197696,NMB,Gene Expression,0.8386509039959096,0.0,0.0,61476,10.450684897783116,4757,
ENSG00000129244,ATP1B2,Gene Expression,0.8374284920078559,0.0,0.0,204460,35.26376502870816,5455,
ENSG00000171885,AQP4,Gene Expression,0.8357829869593786,0.0,0.0,188137,32.617185006873605,5412,
ENSG00000171766,GATM,Gene Expression,0.8335995052518836,0.0,0.0,160659,27.639228566608637,5405,
ENSG00000121005,CRISPLD1,Gene Expression,0.8334007071217562,0.0,0.0,69447,11.738123136313826,4761,
ENSG00000100427,MLC1,Gene Expression,0.8329584052668729,0.0,0.0,127122,21.557639325104205,5338,
ENSG00000164929,BAALC,Gene Expression,0.8320508232407093,0.0,0.0,138663,23.80289801387402,5406,
ITGAX,ITGAX,Antibody Capture,0.828883535763494,0.0,0.0,128046717,19657.31389353365,5756,CD11c
ENSG00000131981,LGALS3,Gene Expression,0.8263733606713252,0.0,0.0,121132,20.335486226554327,5332,
ENSG00000109971,HSPA8,Gene Expression,0.8257924381234609,0.0,0.0,150514,26.286247486864614,5451,
ENSG00000111666,CHPT1,Gene Expression,0.825040084365095,0.0,0.0,83668,14.268169180373391,5104,
ENSG00000117519,CNN3,Gene Expression,0.8246678495512063,0.0,0.0,188071,32.694419898980414,5542,
ENSG00000079215,SLC1A3,Gene Expression,0.8240290917620974,0.0,0.0,212963,37.089815080164314,5554,
ENSG00000133318,RTN3,Gene Expression,0.8224661056433971,0.0,0.0,150208,27.323987096191566,5428,
ENSG00000170381,SEMA3E,Gene Expression,0.8223463425519641,0.0,0.0,31962,5.258085005888259,3999,
ENSG00000104341,LAPTM4B,Gene Expression,0.8222049874428274,0.0,0.0,80917,13.91264107759385,5142,
ENSG00000132692,BCAN,Gene Expression,0.8198748248143932,0.0,0.0,104722,17.80571538206399,5298,
ENSG00000105894,PTN,Gene Expression,0.8194431302815223,0.0,0.0,384419,65.24528806770248,5700,
ENSG00000131095,GFAP,Gene Expression,0.8194001900295874,0.0,0.0,879222,153.48524038102806,5752,
ENSG00000088826,SMOX,Gene Expression,0.8185767715319974,0.0,0.0,140279,23.726314017330353,5424,
ENSG00000106460,TMEM106B,Gene Expression,0.8178248904152259,0.0,0.0,84268,14.730679071471632,5174,
ENSG00000118785,SPP1,Gene Expression,0.8163722708982969,0.0,0.0,1509974,245.72631737835925,5747,
ENSG00000080493,SLC4A4,Gene Expression,0.8150532544399293,0.0,0.0,119696,20.334003458627805,5400,
