Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature,Feature Secondary Name
HLA-DRA,HLA-DRA,Antibody Capture,0.8140249876131336,0.0,0.0,217062361,47700.034184302414,4194,HLA-DR
PAX5,PAX5,Antibody Capture,0.8001909476191017,0.0,0.0,39464706,9993.722225185977,4194,PAX5
CD163,CD163,Antibody Capture,0.7713183240057504,0.0,0.0,87849285,21666.416010732668,4194,CD163
CR2,CR2,Antibody Capture,0.7638792780468878,0.0,0.0,131979979,32968.90424158423,4194,CD21
CD40,CD40,Antibody Capture,0.7578892835384575,0.0,0.0,140484391,32679.636394966295,4194,CD40
CD3E,CD3E,Antibody Capture,0.7536847588279417,0.0,0.0,212507204,45725.95523365736,4194,CD3E
CD19,CD19,Antibody Capture,0.7500741776580336,0.0,0.0,130996681,31893.447418437754,4194,CD19
CD4,CD4,Antibody Capture,0.730432689167069,0.0,0.0,383177854,93561.04588947423,4194,CD4
ENSG00000163683,SMIM14,Gene Expression,0.7235248587913737,0.0,0.0,92501,23.859670312226402,4152,
ENSG00000198840,MT-ND3,Gene Expression,0.7216287611195475,0.0,0.0,291234,75.67632218753488,4191,
ENSG00000198899,MT-ATP6,Gene Expression,0.7155094232362426,0.0,0.0,585814,150.45215775534714,4193,
ENSG00000075624,ACTB,Gene Expression,0.7139199800930031,0.0,0.0,479205,124.55671183926987,4194,
KRT5,KRT5,Antibody Capture,0.7120020123438852,0.0,0.0,71965597,15890.066204512716,4191,PanCK
ITGAX,ITGAX,Antibody Capture,0.7117772455868058,0.0,0.0,84404441,18028.80339308274,4192,CD11c
ENSG00000137077,CCL21,Gene Expression,0.7102932228309946,0.0,0.0,26399,6.344144765857759,2565,
ENSG00000181617,FDCSP,Gene Expression,0.7080611053576201,0.0,0.0,284389,72.20257509293505,4052,
SDC1,SDC1,Antibody Capture,0.707118619463917,0.0,0.0,16531087,4159.430838293754,4192,CD138
VIM,VIM,Antibody Capture,0.7038826217501893,0.0,0.0,135695844,30484.11417954882,4193,VIM
ENSG00000120885,CLU,Gene Expression,0.6998156075811098,0.0,0.0,262121,67.09626971207366,4192,
ENSG00000166710,B2M,Gene Expression,0.6977185585658736,0.0,0.0,252642,64.85705560199351,4192,
ENSG00000104904,OAZ1,Gene Expression,0.6916489546294434,0.0,0.0,305236,78.43062200813294,4192,
ENSG00000162511,LAPTM5,Gene Expression,0.69124340822354,0.0,0.0,160218,41.39562619878087,4191,
ENSG00000019582,CD74,Gene Expression,0.6830422572147827,0.0,0.0,515169,132.30087337208798,4193,
ENSG00000173812,EIF1,Gene Expression,0.6813960005413852,0.0,0.0,88150,22.61591299232715,4177,
ENSG00000156738,MS4A1,Gene Expression,0.6810000008160213,0.0,0.0,308630,79.96288781543652,4188,
CCR7,CCR7,Antibody Capture,0.6766531951799823,0.0,0.0,143704711,34085.630773078636,4194,CD197
PDCD1,PDCD1,Antibody Capture,0.6762855869181308,0.0,0.0,42740332,10502.174405533873,4194,PD1
ENSG00000172724,CCL19,Gene Expression,0.6750931512164441,0.0,0.0,47121,11.223341602556404,3381,
ENSG00000198938,MT-CO3,Gene Expression,0.6746584830290512,0.0,0.0,915727,232.58175476495734,4192,
MS4A1,MS4A1,Antibody Capture,0.673547240656546,0.0,0.0,73937229,16787.882123968007,4192,CD20
CD8A,CD8A,Antibody Capture,0.671029562971729,0.0,0.0,80531902,17400.95364624301,4193,CD8A
ENSG00000163220,S100A9,Gene Expression,0.6689280930619288,0.0,0.0,621643,163.5082715539308,4157,
ENSG00000118308,LRMP,Gene Expression,0.6688868127577567,0.0,0.0,95077,24.53650628636171,4157,
ENSG00000198712,MT-CO2,Gene Expression,0.6671834318289687,0.0,0.0,315379,80.07779760151328,4192,
ENSG00000189043,NDUFA4,Gene Expression,0.6659187310429027,0.0,0.0,77249,20.06636878658805,4176,
ENSG00000143546,S100A8,Gene Expression,0.6657096796658296,0.0,0.0,565643,148.94600264454505,4104,
ENSG00000198886,MT-ND4,Gene Expression,0.6653668625435712,0.0,0.0,552300,140.9888068626975,4192,
PCNA,PCNA,Antibody Capture,0.661386879914148,0.0,0.0,121472734,27666.67510540603,4194,PCNA
ENSG00000121552,CSTA,Gene Expression,0.6539828177569822,0.0,0.0,190175,50.33499319525461,4083,
ENSG00000105369,CD79A,Gene Expression,0.652837444665389,0.0,0.0,100827,26.341612052101816,4176,
ENSG00000108518,PFN1,Gene Expression,0.6514751909837124,0.0,0.0,171483,43.75160689281231,4193,
ENSG00000198727,MT-CYB,Gene Expression,0.6512496892382994,0.0,0.0,355713,90.39403531530704,4193,
ENSG00000103365,GGA2,Gene Expression,0.6503485385293716,0.0,0.0,86010,22.38112061492315,4174,
ENSG00000012124,CD22,Gene Expression,0.6470694133755107,0.0,0.0,80496,20.883406648041024,4116,
ACTA2,ACTA2,Antibody Capture,0.6436844309225638,0.0,0.0,39169550,9124.902466482818,4193,alphaSMA
ENSG00000079950,STX7,Gene Expression,0.6416556126560274,0.0,0.0,70545,18.297441301552738,4182,
ENSG00000007312,CD79B,Gene Expression,0.6405498305002566,0.0,0.0,67508,17.637664601687835,4116,
ENSG00000162924,REL,Gene Expression,0.6405222498497524,0.0,0.0,76644,19.894204763391663,4173,
ENSG00000136167,LCP1,Gene Expression,0.6402905073644973,0.0,0.0,262710,67.1100343474731,4192,
ENSG00000163209,SPRR3,Gene Expression,0.6395153758865084,0.0,0.0,63058,17.40493424845087,2463,
ENSG00000012223,LTF,Gene Expression,0.6378761422711867,0.0,0.0,181933,46.49820898374192,3823,
ENSG00000204388,HSPA1B,Gene Expression,0.6363315696518358,0.0,0.0,19758,5.041032371195708,3554,
ENSG00000213145,CRIP1,Gene Expression,0.634164342115073,0.0,0.0,131719,33.44361182917061,4191,
ENSG00000127074,RGS13,Gene Expression,0.6290487274785299,0.0,0.0,84692,21.802680348386403,3612,
ENSG00000118816,CCNI,Gene Expression,0.6283421361300003,0.0,0.0,156260,39.85793813877839,4191,
ENSG00000272398,CD24,Gene Expression,0.6282502358281061,0.0,0.0,61472,16.26399332378244,4105,
