Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature,Feature Secondary Name
KRT5,KRT5,Antibody Capture,0.8074253924393668,0.0,0.0,84836037,16763.831860466973,4905,PanCK
ACTA2,ACTA2,Antibody Capture,0.7875308369475128,0.0,0.0,59729235,11842.826830272634,4907,alphaSMA
ENSG00000143546,S100A8,Gene Expression,0.7552144078983073,0.0,0.0,758746,165.53259747877254,4677,
ENSG00000163220,S100A9,Gene Expression,0.7498803097926932,0.0,0.0,670408,146.18284067792436,4779,
TMEM173,TMEM173,Antibody Capture,0.7488171150880811,0.0,0.0,431546496,84671.33533115909,4908,STING
CD3E,CD3E,Antibody Capture,0.7412732848240264,0.0,0.0,274300450,52471.95469632302,4908,CD3E
ENSG00000137077,CCL21,Gene Expression,0.7109674641074782,0.0,0.0,45053,8.583529609554937,3431,
ENSG00000133710,SPINK5,Gene Expression,0.7081147451417055,0.0,0.0,116309,24.609390504102105,3378,
ENSG00000121552,CSTA,Gene Expression,0.705956873241645,0.0,0.0,269987,58.51925549222133,4731,
CD40,CD40,Antibody Capture,0.7047647531210331,0.0,0.0,197063740,39711.30777274955,4908,CD40
ENSG00000169469,SPRR1B,Gene Expression,0.7020401012044138,0.0,0.0,72082,15.683001612973154,2649,
ENSG00000163209,SPRR3,Gene Expression,0.7012596473935073,0.0,0.0,116056,26.07236341041679,3302,
ENSG00000140519,RHCG,Gene Expression,0.6987434849624126,0.0,0.0,82839,18.078103817030136,3139,
VIM,VIM,Antibody Capture,0.6935552331954389,0.0,0.0,97984333,19228.75252941842,4908,VIM
ENSG00000124102,PI3,Gene Expression,0.6912253665070998,0.0,0.0,64703,13.413155198025146,2591,
ENSG00000136689,IL1RN,Gene Expression,0.6895439907511531,0.0,0.0,55749,11.902577334904166,2840,
ENSG00000205420,KRT6A,Gene Expression,0.6768187662265681,0.0,0.0,52330,11.192587791731588,2748,
ENSG00000172724,CCL19,Gene Expression,0.6701623109091615,0.0,0.0,46736,8.858357625576037,3824,
ENSG00000107562,CXCL12,Gene Expression,0.6690128389572845,0.0,0.0,23851,4.7879567402819845,3609,
ENSG00000185873,TMPRSS11B,Gene Expression,0.6664753733381963,0.0,0.0,48817,10.605186634062633,2327,
ENSG00000096696,DSP,Gene Expression,0.6662758356548972,0.0,0.0,112128,24.01720706178723,4379,
ENSG00000134954,ETS1,Gene Expression,0.6656509442863575,0.0,0.0,147727,29.340623207907555,4861,
ENSG00000112378,PERP,Gene Expression,0.6655621378206992,0.0,0.0,83015,17.83513262419591,3864,
ENSG00000186847,KRT14,Gene Expression,0.6654885332447268,0.0,0.0,107279,23.27073495261029,3485,
ENSG00000184292,TACSTD2,Gene Expression,0.6636442164328368,0.0,0.0,55137,11.790508858086136,3358,
ENSG00000107317,PTGDS,Gene Expression,0.6601684631878092,0.0,0.0,86864,17.364947105264573,4593,
ENSG00000171401,KRT13,Gene Expression,0.6551176915141932,0.0,0.0,118104,26.87507381139335,4274,
ENSG00000128422,KRT17,Gene Expression,0.6548478611833951,0.0,0.0,22796,4.816324547529882,2332,
MICA,MICA,Antibody Capture,0.6528456635244416,0.0,0.0,647618505,130960.91249674703,4908,MICA
CD8A,CD8A,Antibody Capture,0.6485067676344521,0.0,0.0,200972263,38757.02601392898,4908,CD8A
ENSG00000118898,PPL,Gene Expression,0.6468630035791055,0.0,0.0,23793,5.193493349238759,2337,
ENSG00000124107,SLPI,Gene Expression,0.6468065402837582,0.0,0.0,25992,5.70079722618132,2159,
ENSG00000186832,KRT16,Gene Expression,0.6413279008878837,0.0,0.0,29106,5.822008845678517,2051,
ENSG00000136155,SCEL,Gene Expression,0.6399846165324807,0.0,0.0,23299,5.048091311447367,2148,
PTPRC_2,PTPRC_2,Antibody Capture,0.6381112710295251,0.0,0.0,128825713,24952.37071162171,4908,CD45RO
ENSG00000135046,ANXA1,Gene Expression,0.6372489768676316,0.0,0.0,117643,25.69331795938708,4592,
ENSG00000189001,SBSN,Gene Expression,0.6368607304902103,0.0,0.0,21548,4.563970431750508,1874,
ENSG00000148346,LCN2,Gene Expression,0.6337021477175357,0.0,0.0,25698,5.622743512285162,1881,
ENSG00000115009,CCL20,Gene Expression,0.6312636841151215,0.0,0.0,30448,6.129979568358949,2614,
ENSG00000211751,TRBC1,Gene Expression,0.6312293698453154,0.0,0.0,100117,19.54061082447981,4795,
ENSG00000089356,FXYD3,Gene Expression,0.6309154885732133,0.0,0.0,28790,6.23119549399814,2630,
